orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_monitoring-stack-smart-plug-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,server_115_disk_reads_6g-sandbox-engine-worker-1,orin_memory_ubuntu,orin_memory_[none],orin_memory_[none],orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,server_115_memory_ubuntu,server_115_memory_ubuntu,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,server_115_network_sent_6g-sandbox-engine-worker-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,server_115_network_received_6g-sandbox-engine-worker-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,orin_temp,orin_memory,server_115_memory,orin_disk_writes,server_115_disk_writes,orin_disk_reads,server_115_disk_reads,orin_network_sent,server_115_network_sent,orin_network_received,server_115_network_received,orin_power,orin_cpu,server_115_cpu
0,0,0,0,,0,265957380,78397440,1133300940,,17872350000,,1240208200,7815603.882972,13.2,1543.59996,6515325,,315959.65426,781759.880006,13.2,975.4,327733.32,,166167.239004,0.3394784,3.0005994,11.1929042,77.267788,0.3887408,204.525486,,44.319,22773.254,1701.8452,-237.72336,-29.850002,3.9997666,0,-1180.16112,-2586.4152,2763.2506,1165.82474,14.867,72.0234514,20.6921004
0,0,0,0,,0,265957380,78397440,1133300940,,17872350000,,1240208200,7815603.882972,13.2,1543.59996,6515325,,315959.65426,781759.880006,13.2,975.4,327733.32,,166167.239004,0.3394784,3.0005994,11.1929042,77.267788,0.3887408,204.525486,,44.319,22773.254,1701.8452,-237.72336,-29.850002,3.9997666,0,-1180.16112,-2586.4152,2763.2506,1165.82474,14.867,72.0234514,20.6921004
0,0,0,0,,0,265957380,78397440,1133300940,,17872350000,,1240208200,7815603.882972,13.2,1543.59996,6515325,,315959.65426,781759.880006,13.2,975.4,327733.32,,166167.239004,0.3394784,3.0005994,11.1929042,77.267788,0.3887408,204.525486,,44.319,22773.254,1701.8452,-237.72336,-29.850002,3.9997666,0,-1180.16112,-2586.4152,2763.2506,1165.82474,14.867,72.0234514,20.6921004
0,0,0,0,,0,265957380,78397440,1133300940,,17872350000,,1240208200,7815603.882972,13.2,1543.59996,6515325,,315959.65426,781759.880006,13.2,975.4,327733.32,,166167.239004,0.3394784,3.0005994,11.1929042,77.267788,0.3887408,204.525486,,44.319,22773.254,1701.8452,-237.72336,-29.850002,3.9997666,0,-1180.16112,-2586.4152,2763.2506,1165.82474,14.867,72.0234514,20.6921004
0,0,0,0,,0,265957380,78397440,1133300940,,17872350000,,1240208200,7815603.882972,13.2,1543.59996,6515325,,315959.65426,781759.880006,13.2,975.4,327733.32,,166167.239004,0.3394784,3.0005994,11.1929042,77.267788,0.3887408,204.525486,,44.2966666666667,22773.254,1701.8452,-237.72336,-29.850002,3.9997666,0,-1180.16112,-2586.4152,2763.2506,1165.82474,14.867,72.0234514,20.6921004
0,0,0,0,,0,265590380,78401536,1133409900,,17876382000,,1240399060,7544115.0118542,8.3999998,1338.1973,8272801,,310756.841936,708535.3261702,8.3999994,781.38548,380955.6,,165586.98,0.3551967,2.9969169,10.6731309,75.894928,0.3185667,222.612642,,44.2966666666667,22772.988,1701.7124,-254.4215,-16.309742,4.0002102,0,-1226.2293,-2692.9998,2846.768,1220.7252,14.8594,73.426717,22.2900261
0,0,0,0,,0,265590380,78401536,1133409900,,17876382000,,1240399060,7544115.0118542,8.3999998,1338.1973,8272801,,310756.841936,708535.3261702,8.3999994,781.38548,380955.6,,165586.98,0.3551967,2.9969169,10.6731309,75.894928,0.3185667,222.612642,,44.2966666666667,22772.988,1701.7124,-254.4215,-16.309742,4.0002102,0,-1226.2293,-2692.9998,2846.768,1220.7252,14.8594,73.426717,22.2900261
0,0,0,0,,0,265590380,78401536,1133409900,,17876382000,,1240399060,7544115.0118542,8.3999998,1338.1973,8272801,,310756.841936,708535.3261702,8.3999994,781.38548,380955.6,,165586.98,0.3551967,2.9969169,10.6731309,75.894928,0.3185667,222.612642,,44.2966666666667,22772.988,1701.7124,-254.4215,-16.309742,4.0002102,0,-1226.2293,-2692.9998,2846.768,1220.7252,14.8594,73.426717,22.2900261
0,0,0,0,,0,265590380,78401536,1133409900,,17876382000,,1240399060,7544115.0118542,8.3999998,1338.1973,8272801,,310756.841936,708535.3261702,8.3999994,781.38548,380955.6,,165586.98,0.3551967,2.9969169,10.6731309,75.894928,0.3185667,222.612642,,44.2966666666667,22772.988,1701.7124,-254.4215,-16.309742,4.0002102,0,-1226.2293,-2692.9998,2846.768,1220.7252,14.8594,73.426717,22.2900261
0,0,0,0,,0,265590380,78401536,1133409900,,17876382000,,1240399060,7544115.0118542,8.3999998,1338.1973,8272801,,310756.841936,708535.3261702,8.3999994,781.38548,380955.6,,165586.98,0.3551967,2.9969169,10.6731309,75.894928,0.3185667,222.612642,,44.2966666666667,22772.988,1701.7124,-254.4215,-16.309742,4.0002102,0,-1226.2293,-2692.9998,2846.768,1220.7252,14.8594,73.426717,22.2900261
