orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_memory_[none],orin_memory_6g-sandbox-prometheus-1,orin_memory_monitoring-stack-smart-plug-1,orin_memory_powerstorm_marketing-campaign_0_client,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,xavier_cpu_6g-sandbox-engine-worker-1,xavier_cpu_monitoring-stack-smart-plug-1,raspberrypi5_cpu_6g-sandbox-engine-worker-1,raspberrypi5_cpu_monitoring-stack_smart-plug_1,orin_temp,xavier_temp,raspberrypi5_temp,orin_memory,xavier_memory,raspberrypi5_memory,orin_disk_writes,xavier_disk_writes,raspberrypi5_disk_writes,orin_disk_reads,xavier_disk_reads,raspberrypi5_disk_reads,orin_network_sent,xavier_network_sent,raspberrypi5_network_sent,orin_network_received,xavier_network_received,raspberrypi5_network_received,orin_power,xavier_power,raspberrypi5_power,orin_cpu,xavier_cpu,raspberrypi5_cpu
0,0,0,107506892,930230280,32346110,5133141600,9514303.94982,0,1431.003,7017293.2,814401.16344,0,776.99708,369350.82,0.3489177,1.8752635,0.5811934,79.087284,0.3247876,243.266622,29.5725236,1.3836507,3.5135955,0.2336121,42.7576666666667,44.95,41.9725,8167.3994,1484.7703,1135.25,-30.0015362,-9.6,-118.550384,0,0,0,-695.36172,-180.6672406,-117.232556,374.872908,11.1772084,11.6283022,13.9712,3.8198,4.215,70.4786222,19.2305572,2.3610693
0,0,0,107506892,930230280,32346110,5133141600,9514303.94982,0,1431.003,7017293.2,814401.16344,0,776.99708,369350.82,0.3489177,1.8752635,0.5811934,79.087284,0.3247876,243.266622,29.5725236,1.3836507,3.5135955,0.2336121,42.7576666666667,44.95,41.9725,8167.3994,1484.7703,1135.25,-30.0015362,-9.6,-118.550384,0,0,0,-695.36172,-180.6672406,-117.232556,374.872908,11.1772084,11.6283022,13.9712,3.8198,4.215,70.4786222,19.2305572,2.3610693
0,0,0,104715060,930317120,32346110,5137513800,7980480.83138,0,1379.2079,8684254.4,651692.63846,0,826.95892,466323.04,0.3897982,1.9118598,0.592373,79.24625,0.3443127,251.200122,28.5685984,1.4164243,4.4221909,0.2607955,42.7576666666667,44.95,41.9725,8164.7632,1484.61484,1134.6625,-51.9024236,-26.991404,-33.2044526,227.2,0,0,-356.6976902,-180.6536652,-117.2706104,375.9621504,13.9256262,11.2077544,13.956,3.74,4.2188,71.5157483,19.5535349,2.6111989
0,0,0,104715060,930317120,32346110,5137513800,7980480.83138,0,1379.2079,8684254.4,651692.63846,0,826.95892,466323.04,0.3897982,1.9118598,0.592373,79.24625,0.3443127,251.200122,28.5685984,1.4164243,4.4221909,0.2607955,42.7576666666667,44.95,41.9725,8164.7632,1484.61484,1134.6625,-51.9024236,-26.991404,-33.2044526,227.2,0,0,-356.6976902,-180.6536652,-117.2706104,375.9621504,13.9256262,11.2077544,13.956,3.74,4.2188,71.5157483,19.5535349,2.6111989
0,0,0,104715060,930317120,32346110,5137513800,7980480.83138,0,1379.2079,8684254.4,651692.63846,0,826.95892,466323.04,0.3897982,1.9118598,0.592373,79.24625,0.3443127,251.200122,28.5685984,1.4164243,4.4221909,0.2607955,42.7576666666667,44.95,41.9725,8164.7632,1484.61484,1134.6625,-51.9024236,-26.991404,-33.2044526,227.2,0,0,-356.6976902,-180.6536652,-117.2706104,375.9621504,13.9256262,11.2077544,13.956,3.74,4.2188,71.5157483,19.5535349,2.6111989
0,0,0,104715060,930317120,32346110,5137513800,7980480.83138,0,1379.2079,8684254.4,651692.63846,0,826.95892,466323.04,0.3897982,1.9118598,0.592373,79.24625,0.3443127,251.200122,28.5685984,1.4164243,4.4221909,0.2607955,42.7576666666667,44.95,41.9725,8164.7632,1484.61484,1134.6625,-51.9024236,-26.991404,-33.2044526,227.2,0,0,-356.6976902,-180.6536652,-117.2706104,375.9621504,13.9256262,11.2077544,13.956,3.74,4.2188,71.5157483,19.5535349,2.6111989
0,0,0,104715060,930317120,32346110,5137513800,7980480.83138,0,1379.2079,8684254.4,651692.63846,0,826.95892,466323.04,0.3897982,1.9118598,0.592373,79.24625,0.3443127,251.200122,28.5685984,1.4164243,4.4221909,0.2607955,42.7576666666667,44.95,41.9725,8164.7632,1484.61484,1134.6625,-51.9024236,-26.991404,-33.2044526,227.2,0,0,-356.6976902,-180.6536652,-117.2706104,375.9621504,13.9256262,11.2077544,13.956,3.74,4.2188,71.5157483,19.5535349,2.6111989
0,0,0,106959666,930394100,32346110,5141862800,8206861.54814,0,1357.4835,7997218.6,617648.654792,0,737.544,419618.404,0.3791398,1.9995896,0.5894343,77.801906,0.3122418,243.290614,28.1347136,2.09176,3.7512061,0.2157469,42.7576666666667,44.95,41.9725,8162.5578,1484.84142,1134.92188,-4846.9753826,-25.39296,-41.195548,0,0,1.6,-356.5287204,-180.1830334,-116.9278826,369.1678536,10.1767278,11.2715924,13.9864,3.7476,4.234,69.4980857,19.4629149,2.4180426
0,0,0,106959666,930394100,32346110,5141862800,8206861.54814,0,1357.4835,7997218.6,617648.654792,0,737.544,419618.404,0.3791398,1.9995896,0.5894343,77.801906,0.3122418,243.290614,28.1347136,2.09176,3.7512061,0.2157469,42.841,45.15,41.9725,8162.5578,1484.84142,1134.92188,-4846.9753826,-25.39296,-41.195548,0,0,1.6,-356.5287204,-180.1830334,-116.9278826,369.1678536,10.1767278,11.2715924,13.9864,3.7476,4.234,69.4980857,19.4629149,2.4180426
0,0,0,106959666,930394100,32346110,5141862800,8206861.54814,0,1357.4835,7997218.6,617648.654792,0,737.544,419618.404,0.3791398,1.9995896,0.5894343,77.801906,0.3122418,243.290614,28.1347136,2.09176,3.7512061,0.2157469,42.841,45.15,41.9725,8162.5578,1484.84142,1134.92188,-4846.9753826,-25.39296,-41.195548,0,0,1.6,-356.5287204,-180.1830334,-116.9278826,369.1678536,10.1767278,11.2715924,13.9864,3.7476,4.234,69.4980857,19.4629149,2.4180426
0,0,0,106959666,930394100,32346110,5141862800,8206861.54814,0,1357.4835,7997218.6,617648.654792,0,737.544,419618.404,0.3791398,1.9995896,0.5894343,77.801906,0.3122418,243.290614,28.1347136,2.09176,3.7512061,0.2157469,42.841,45.15,41.9725,8162.5578,1484.84142,1134.92188,-4846.9753826,-25.39296,-41.195548,0,0,1.6,-356.5287204,-180.1830334,-116.9278826,369.1678536,10.1767278,11.2715924,13.9864,3.7476,4.234,69.4980857,19.4629149,2.4180426
0,0,0,106959666,930394100,32346110,5141862800,8206861.54814,0,1357.4835,7997218.6,617648.654792,0,737.544,419618.404,0.3791398,1.9995896,0.5894343,77.801906,0.3122418,243.290614,28.1347136,2.09176,3.7512061,0.2157469,42.841,45.15,41.9725,8162.5578,1484.84142,1134.92188,-4846.9753826,-25.39296,-41.195548,0,0,1.6,-356.5287204,-180.1830334,-116.9278826,369.1678536,10.1767278,11.2715924,13.9864,3.7476,4.234,69.4980857,19.4629149,2.4180426
